PassengerID,Survived
624,0.0
625,0.0
626,0.0
627,0.0
628,1.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,1.0
637,1.0
638,0.0
639,0.0
640,0.0
641,0.0
642,1.0
643,0.0
644,0.0
645,1.0
646,1.0
647,0.0
648,0.0
649,0.0
650,1.0
651,0.0
652,1.0
653,0.0
654,1.0
655,0.0
656,0.0
657,0.0
658,1.0
659,1.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,1.0
669,0.0
670,1.0
671,1.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,1.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,1.0
690,1.0
691,0.0
692,1.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,1.0
699,0.0
700,0.0
701,1.0
702,1.0
703,0.0
704,0.0
705,0.0
706,0.0
707,1.0
708,1.0
709,1.0
710,1.0
711,1.0
712,1.0
713,0.0
714,1.0
715,0.0
716,0.0
717,1.0
718,1.0
719,0.0
720,0.0
721,1.0
722,0.0
723,1.0
724,0.0
725,0.0
726,0.0
727,1.0
728,1.0
729,0.0
730,1.0
731,1.0
732,0.0
733,0.0
734,1.0
735,1.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,1.0
742,0.0
743,1.0
744,0.0
745,0.0
746,0.0
747,0.0
748,1.0
749,0.0
750,1.0
751,1.0
752,1.0
753,1.0
754,0.0
755,1.0
756,1.0
757,0.0
758,0.0
759,0.0
760,1.0
761,0.0
762,0.0
763,0.0
764,1.0
765,0.0
766,1.0
767,0.0
768,1.0
769,1.0
770,1.0
771,0.0
772,0.0
773,1.0
774,0.0
775,1.0
776,0.0
777,0.0
778,0.0
779,0.0
780,1.0
781,1.0
782,1.0
783,1.0
784,0.0
785,0.0
786,0.0
787,1.0
788,0.0
789,1.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,1.0
798,0.0
799,0.0
800,1.0
801,1.0
802,1.0
803,1.0
804,1.0
805,0.0
806,0.0
807,0.0
808,1.0
809,0.0
810,1.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,1.0
818,0.0
819,0.0
820,0.0
821,1.0
822,0.0
823,0.0
824,1.0
825,0.0
826,0.0
827,0.0
828,1.0
829,0.0
830,1.0
831,0.0
832,1.0
833,0.0
834,0.0
835,1.0
836,1.0
837,0.0
838,0.0
839,1.0
840,0.0
841,0.0
842,0.0
843,1.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,1.0
851,0.0
852,0.0
853,1.0
854,1.0
855,1.0
856,0.0
857,1.0
858,1.0
859,1.0
860,0.0
861,0.0
862,0.0
863,1.0
864,0.0
865,1.0
866,1.0
867,1.0
868,0.0
869,0.0
870,1.0
871,0.0
872,1.0
873,0.0
874,0.0
875,1.0
876,1.0
877,0.0
878,0.0
879,0.0
880,1.0
881,1.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,1.0
889,0.0
890,0.0
891,1.0
